artist_searched,artist,track_name,album,release_date,popularity,duration_ms,explicit,track_id
sam smith,Calvin Harris,Promises (with Sam Smith),96 Months,2024-08-08,,213309,False,6auDCEMr5aHTNu4Kw9h5U6
sam smith,Disclosure,Latch,Settle (Special Edition),2013-06-03,,255631,False,51ODNNDZm21HU7wI7cccRr
jason derulo,Jason Derulo,Whatcha Say,Jason Derulo (International),2010-02-24,,221253,False,7xkQdy0cy5ymoWT7nedvLz
jason derulo,Jason Derulo,Take You Dancing,Take You Dancing,2020-07-22,,190306,False,59qrUpoplZxbIZxk6X0Bm3
jason derulo,Jason Derulo,Want to Want Me,Everything Is 4,2015-05-29,,207719,False,7oGZAicScQt96OAW4AruYy
jason derulo,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nu King,2024-02-16,,216408,True,58w5J5yNWeGZ7a4cM1rO7Y
jason derulo,Little Mix,Secret Love Song (feat. Jason Derulo),Get Weird (Expanded Edition),2015-11-06,,249810,False,6KHL1En9v6iNWjcs44mcmU
adele,Adele,Someone Like You,21,2011-01-24,,285240,False,3bNv3VuUOKgrf5hu3YcuRo
adele,Adele,Set Fire to the Rain,21,2011-01-24,,242973,False,3di5hcvxxciiqwMH1jarhY
adele,Adele,Love In The Dark,25,2015-11-20,,285935,False,0DuWDLjriRPjDRoPgaCslY
adele,Adele,Skyfall,Skyfall,2012-10-04,,286081,False,6VObnIkLVruX4UVyxWhlqm
adele,Adele,Rolling in the Deep,21,2011-01-24,,228093,False,4OSBTYWVwsQhGLF9NHvIbR
ed sheeran,Ed Sheeran,Perfect,÷ (Deluxe),2017-03-03,,263400,False,0tgVpDi06FyKpA1z0VMD4v
ed sheeran,Ed Sheeran,Shape of You,÷ (Deluxe),2017-03-03,,233712,False,7qiZfU4dY1lWllzX7mPBI3
ed sheeran,Ed Sheeran,Photograph,x (Deluxe Edition),2014-06-21,,258986,False,1HNkqx9Ahdgi1Ixy2xkKkL
ed sheeran,Ed Sheeran,Shivers,=,2021-10-25,,207853,False,50nfwKoDiSYg8zOCREWAm5
ed sheeran,Ed Sheeran,Thinking out Loud,x (Deluxe Edition),2014-06-21,,281560,False,34gCuhDGsG4bRPIf9bb02f
blondie,Blondie,Heart Of Glass,Parallel Lines,1978-09-23,,229423,False,4v2rkl1mC3zVAz0nXMx9r4
blondie,Blondie,Call Me,Atomic/Atomix,1999-01-01,,212600,False,4qO03RMQm88DdpTJcxlglY
blondie,Blondie,One Way Or Another - Remastered 2001,Parallel Lines (Remastered),1978-09-01,,215106,False,4cQJ27R11K634x5qCOwKW5
blondie,Blondie,Call Me,Best Of Blondie,1981-10-31,,212893,False,0vLwL4xuJ3s7SeaCdvMqkY
blondie,Blondie,Heart Of Glass - Special Mix,Best Of Blondie,1981-10-31,,275733,False,0a4agFmqHXxcZl1nho1BxM
dua lipa,Dua Lipa,Houdini,Radical Optimism,2024-05-03,,185917,False,6D8y7Bck8h11byRY88Pt2z
dua lipa,Dua Lipa,Levitating (feat. DaBaby),Future Nostalgia,2020-03-27,,203064,False,5nujrmhLynf4yMoMtj8AQF
dua lipa,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),2018-04-06,,214846,False,7ef4DlsgrMEH11cDZd32M6
dua lipa,Sean Paul,No Lie,Mad Love The Prequel,2018-06-29,,221176,False,48QmG1dfvMuYLxMPt7KSRA
dua lipa,Elton John,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),2021-08-13,,202735,False,6zSpb8dQRaw0M1dK8PBwQz
demi lovato,Demi Lovato,Heart Attack,Demi,2013-01-01,,210840,False,1V6gIisPpYqgFeWbMLI0bA
demi lovato,Demi Lovato,Cool for the Summer,Confident,2015-01-01,,214739,True,3uwnnTQcHM1rDqSfA4gQNz
demi lovato,Clean Bandit,Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),2018-05-17,,222653,False,6kPJZM97LwdG9QIsT7khp6
demi lovato,Clean Bandit,Solo (feat. Demi Lovato),What Is Love? (Deluxe Edition),2018-11-30,,222706,False,3NuK5xMlSlB6K2Qp16zf3h
demi lovato,Luis Fonsi,Échame La Culpa,VIDA,2019-02-01,,173800,False,0mlAOSILGRys2IbvyOT5VJ
mgmt,MGMT,Kids,Oracular Spectacular,2007-12-14,,302840,False,1jJci4qxiYcOHhQR247rEU
mgmt,MGMT,Little Dark Age,Little Dark Age,2018-02-09,,299933,False,2Y0iGXY6m6immVb2ktbseM
mgmt,MGMT,Electric Feel,Oracular Spectacular,2007-12-14,,229640,False,3FtYbEfBqAlGO46NUDQSAt
mgmt,MGMT,Time to Pretend,Oracular Spectacular,2007-12-14,,261000,True,4iG2gAwKXsOcijVaVXzRPW
mgmt,Kid Cudi,Pursuit Of Happiness (Nightmare),Man On The Moon: The End Of Day (Int'l Version),2009-01-01,,295293,True,4kTLpAbhuEGHAAdDjOIWaa
m83,M83,Wait,"Hurry up, We're Dreaming",2011-10-17,,343253,False,01Q3OyB05mLgH01fpdAMPP
m83,M83,Outro,"Hurry up, We're Dreaming",2011-10-17,,247026,False,1s9i7W8zx7Nxx78MUIsvjV
m83,M83,Midnight City,"Hurry up, We're Dreaming",2011-10-17,,243960,False,6GyFP1nfCDB8lbD2bG0Hq9
m83,M83,Solitude - Felsmann + Tiley Reinterpretation,Solitude (Felsmann + Tiley Reinterpretation),2020-05-14,,222354,False,6RK3IsiUW6YaSMEodbO4tk
m83,M83,My Tears Are Becoming a Sea,"Hurry up, We're Dreaming",2011-10-17,,151826,False,08wnOyN1wyMaNrup3m353f
cage the elephant,Cage The Elephant,Cigarette Daydreams,Melophobia,2013-10-08,,208760,False,6jHvX8ZnHKC1PnrPMJ0Emt
cage the elephant,Cage The Elephant,Come A Little Closer,Melophobia,2013-10-08,,229346,False,7oWbeO9v3Cfs900q7JhLAs
cage the elephant,Cage The Elephant,Ain't No Rest For The Wicked - Original Version,Cage The Elephant,2008-01-01,,175493,False,7tCHpjktA50ihtkLz6bAnn
cage the elephant,Cage The Elephant,Trouble,Tell Me I'm Pretty,2015-12-18,,225980,False,5n0CTysih20NYdT2S0Wpe8
cage the elephant,Cage The Elephant,Cold Cold Cold,Tell Me I'm Pretty,2015-12-18,,214383,False,1Q3t9fWvHUXKsMmpD2XpUu
of monsters and men,Of Monsters and Men,Little Talks,My Head Is An Animal,2012-01-01,,266600,False,2ihCaVdNZmnHZWt0fvAM7B
of monsters and men,Of Monsters and Men,Dirty Paws,My Head Is An Animal,2012-01-01,,278373,False,5g7rJvWYVrloJZwKiShqlS
of monsters and men,Of Monsters and Men,King And Lionheart,My Head Is An Animal,2012-01-01,,273853,False,310d8Vawp5kYDYrGrrTAzl
of monsters and men,Of Monsters and Men,Mountain Sound,My Head Is An Animal,2012-01-01,,211453,False,3SPVZJzf1Hs30rB6yXVf2y
of monsters and men,Of Monsters and Men,Crystals,Beneath The Skin,2015-06-05,,243520,False,5wU6jk9kxYzFGUpeE6T2Q5
mumford & sons,Mumford & Sons,Little Lion Man,Sigh No More,2009-01-01,,245173,True,2KrN3MCNztKcSleZgHEj83
mumford & sons,Mumford & Sons,Badlands (with Gracie Abrams),Prizefighter,2026-02-20,,178200,False,47Z5J8r3LrI0gSuqxijzSg
mumford & sons,Mumford & Sons,The Cave,Sigh No More,2009-01-01,,215626,False,2F79HavLHwJlfvvJOkkIQD
mumford & sons,Mumford & Sons,Woman,Delta,2018-11-16,,274552,False,47DKI4RxI8ZW0sBqDenMhO
mumford & sons,Mumford & Sons,I Will Wait,Babel (Deluxe Version),2012-09-21,,276720,False,5PRRthP9SLfbXB359MfIWv
hugo,Hugo Henrique,Processo Delicado,Processo Delicado,2026-02-20,,172277,False,0aKZSEgjHbUngVi04ZrHBz
hugo,Rafa e Junior,Ama Um Maloqueiro,Ama Um Maloqueiro,2025-05-22,,162580,False,2ejSYn4SfoE07mXPlnYVED
hugo,Fernando & Sorocaba,Teus Segredos - Ao Vivo,Teus Segredos (Ao Vivo),2026-03-12,,170456,False,6nNtdCNvY30m0PNejEIzdL
hugo,Hugo & Guilherme,Todo Mundo Menos Eu - Ao Vivo,Todo Mundo Menos Eu (Ao Vivo),2025-09-03,,126285,False,7CIx2glE3HjBtXRrZzfowf
hugo,Hugo & Guilherme,Ele E Ela❤️❌ - Ao Vivo,Ele E Ela❤️❌ (Ao Vivo),2025-11-27,,170932,False,7rBBIdAFWC2m9mdCFrO42o
grouplove,GROUPLOVE,Tongue Tied,Never Trust a Happy Song,2011-09-02,,218013,False,0GO8y8jQk1PkHzS31d699N
grouplove,GROUPLOVE,Ways to Go,Spreading Rumours,2013-09-17,,215520,False,57nNNkgk768QVXq3uHxu5e
grouplove,GROUPLOVE,Colours,Never Trust a Happy Song,2011-09-02,,257786,False,6gSKswfcoWvaadqvuMF3Y7
grouplove,GROUPLOVE,Tongue Tied,100 Greatest 2020 Songs,2020-12-18,,218013,False,1S2bZNjIu6QfukeZCCx2TT
grouplove,GROUPLOVE,Raspberry,Spreading Rumours,2013-09-17,,196026,False,1F5A4LpF8ylUVtPoMAvNvn
beach house,Beach House,Space Song,Depression Cherry,2015-08-28,,320466,False,1ZgMsA55GIY7ICkQh5MILA
beach house,Beach House,House on the Hill,Beach House,2006-10-03,,194506,False,3MCTWjESizm3zWozv4DrR9
beach house,Beach House,Myth,Bloom,2012-05-14,,258653,False,2Zw3HNjaNV42LnQ2uY5JQs
beach house,Beach House,Master of None,Beach House,2006-10-03,,199413,False,3stWWPN41byqp8loPdy92u
beach house,Beach House,Silver Soul,Teen Dream,2010-01-25,,298680,False,56eSclzdXaWU5jOJ7DX7Vp
beach house,Beach House,Lemon Glow,7,2018-05-11,,244946,False,26CfdVmYf0hNvP6SJXF0vQ
3 doors down,3 Doors Down,Here Without You,Away From The Sun,2002-11-12,,238733,False,3NLrRZoMF0Lx6zTlYqeIo4
3 doors down,3 Doors Down,Kryptonite,The Better Life,2000,,233933,False,6ZOBP3NvffbU4SZcrnt1k6
3 doors down,3 Doors Down,Here Without You - Acoustic Version,Seventeen Days,2005,,232013,False,2Zi27tBhXnDQTz3porgaiw
3 doors down,3 Doors Down,It's Not My Time,3 Doors Down,2008-01-01,,241960,False,3DelzIn0lPwX4PeOJk9zDF
3 doors down,3 Doors Down,When I'm Gone,Away From The Sun,2002-11-12,,260333,False,3WbphvawbMZ8FyqDxYGdSQ
the script,The Script,The Man Who Can't Be Moved,The Script,2008-07-14,,241373,False,3nqqDo8CcCLke3ZoTgiOKf
the script,The Script,Breakeven,The Script,2008-07-14,,261426,False,285hMzLhJwHVLe9QT9qilk
the script,The Script,Hall of Fame (feat. will.i.am),#3 Deluxe Version,2012-09-10,,202533,False,7wMq5n8mYSKlQIGECKUgTX
the script,The Script,Superheroes,No Sound Without Silence,2014-09-15,,245466,False,37sINbJZcFdHFAsVNsPq1i
the script,The Script,For the First Time,Science & Faith,2010-09-13,,252440,True,49kjlZP49LMD1MrrcvXDET
three days grace,Three Days Grace,Animal I Have Become,One-X,2006-06-13,,231400,False,5eFxwmqKrHpSQDOEIFYlgY
three days grace,Three Days Grace,Time of Dying,One-X,2006-06-13,,186373,False,6gPd6brcBXlbGdy1obe234
three days grace,Three Days Grace,I Hate Everything About You,Three Days Grace (Expanded Edition),2003-07-22,,231480,False,6rUp7v3l8yC4TKxAAR5Bmx
three days grace,Three Days Grace,Never Too Late,One-X,2006-06-13,,209333,False,5y7NRMui3GLbwj2zBaOqo1
